city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Dublin,53.3497,-6.2603,Ireland,IE,Dublin,primary,1173179,1173179
Cork,51.9,-8.4731,Ireland,IE,Cork,admin,208669,208669
Galway,53.2729,-9.0418,Ireland,IE,Galway,admin,79504,79504
Limerick,52.6653,-8.6238,Ireland,IE,Limerick,admin,58319,58319
Waterford,52.2583,-7.119,Ireland,IE,Waterford,admin,48369,48369
Drogheda,53.7139,-6.3503,Ireland,IE,Louth,admin,40956,40956
Tralee,52.2675,-9.6962,Ireland,IE,Kerry,admin,26384,22941
Carlow,52.8306,-6.9317,Ireland,IE,Carlow,admin,24272,24272
Kilkenny,52.6477,-7.2561,Ireland,IE,Kilkenny,admin,22179,22179
Sligo,54.2667,-8.4833,Ireland,IE,Sligo,admin,19452,19452
Monaghan,54.2479,-6.9708,Ireland,IE,Monaghan,admin,5937,5937
Ros Comáin,53.6333,-8.1833,Ireland,IE,Roscommon,admin,4860,4860
Mullingar,53.5333,-7.35,Ireland,IE,Westmeath,admin,3000,3000
Wicklow,52.9779,-6.033,Ireland,IE,Wicklow,admin,2880,2880
Wexford,52.3342,-6.4575,Ireland,IE,Wexford,admin,12000,12000
Longford,53.727,-7.7998,Ireland,IE,Longford,admin,1100,1100
An Cabhán,53.9908,-7.3606,Ireland,IE,Cavan,admin,500,500
